title,price,localisation,type d'immobilier,nb_pieces,nb_salle_de_bain,scraping_date,annonceur,link,description,site,date,superficie_m2,grappe,region,ville,commune,quartier,Avec_eau,Avec_electricite,Materiaux_en_dur,Toilettes_internes,cours_commune,quartier_chic,nb_pieces_classe,code_var 2014,wifi,jardin,meubler,climatisation,garage,balcon,sécuriser,étage,parking,douche,séjour,équiper,placard,salle,manger,bureau,piscine,gardien,électrogène,four,cinéma,ascenseur,double vitrage,terrasse,toilette,buanderie,chauffe,cuisine,bord_de_mer,forêt,parc,montagne,rivière,lac,zone_commerciale,pharmacie,restaurant,bar,ambassade,école,hôpital,commodités,externalités_naturelles,externalités_artificielles
location appartement 4 pièces - riviera 4,1200000.0,"cocody, abidjan, côte d'ivoire",appartement,4,3,2024-06-21 11:02:42,tra yohann,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-riviera-4-4743097,"location d'un appartement 4 pièces au 2em étage avec jardin garage et piscine très moderne accès très facile, loyer 1200000 mil zone riviera 4 ambassade de chine visite possible agence visite sur rendez-vous ferme avec les frais 5000f réf j  nb je cause uniquement avec l'intéressé principal merci",ci.coinafrique.com,2024-06-21,200.0,abidjan,abidjan,abidjan,cocody,ambassade,1,1,1,1,0,1,4 pièces et plus,401000002,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
location appartement 4 pièces - riviera golf 4,2000000.0,"cocody, abidjan, côte d'ivoire",appartement,4,4,2024-06-21 11:03:01,ngoran mario,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-riviera-golf-4-4785908,"location d'appartement de 4 pièces dans une résidence avec piscine , salle de sport et terrain de basket ball, à la riviera golf 4. l’appartement est composé:  3 chambres autonomes  1séjour / salle à manger 1 cuisine équipée. 1 chambre du personnel. loyer : 2 millions  conditions : 2 mois de caution, 2 mois de loyer d'avance, 1 mois d'agence, les frais annexes.",ci.coinafrique.com,2024-06-21,200.0,abidjan,abidjan,abidjan,cocody,golf,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement 3 pièces - rond ado,300000.0,"cocody, abidjan, côte d'ivoire",appartement,3,3,2024-06-21 11:03:11,ngoran mario,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-rond-ado-4782207,"a louer  un appartement très bon standing de type 3 pièces. au deuxième étage , avec grand parking, un staffe lumineux, baie vitrée et un chauffe eau installé. pas loin du rond ado... loyer mensuel 300 000",ci.coinafrique.com,2024-06-21,170.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement 3 pièces haut standing - cocody riviéra palmeraie,375000.0,"cocody, abidjan, côte d'ivoire",appartement,3,3,2024-06-21 11:03:19,ngoran mario,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-haut-standing-cocody-riviera-palmeraie-4782196,location appartement de 3pièces haut standing aux 2ème étage dont toutes les chambres sont autonome toilettes visiteurs parking interne sécurisé situé à cocody riviéra palmeraie non loin de 35ème arrondissement  loyer 375 mille,ci.coinafrique.com,2024-06-21,160.0,abidjan,abidjan,abidjan,cocody,palmeraie,1,1,1,1,0,1,2 et 3 pièces,401000002,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
location appartement 3 pièces - cocody riviera,400000.0,"cocody, abidjan, côte d'ivoire",appartement,3,3,2024-06-21 11:05:43,ngoran mario,https://ci.coinafrique.com/annonce/appartements/location-appartement-3-pieces-cocody-riviera-4762506,"*en location à cocody riviera -4 sol béni   appartement de 3 pièces  01 séjour lumineux,  chambre autonomes salle d’eau visiteur, balcon splits installés - chauffe-eau  - parking interne   *loyer* 400 000 fcfa.",ci.coinafrique.com,2024-06-21,160.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement 4 pièces  - cocody,320000.0,"cocody, abidjan, côte d'ivoire",appartement,4,4,2024-06-21 11:06:21,ngoran mario,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-cocody-4749550,très  belle 4 pièces en penthouse nouvelle construction au 4ème étage avec toutes les chambres autonomes situé à cocody riviera palmeraie saint viateur non loin de la grande voie y4 bitumé.    loyer: 320.000 fr  nb= c'est vide,ci.coinafrique.com,2024-06-21,200.0,abidjan,abidjan,abidjan,cocody,palmeraie,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
location appartement 4 pièces - marcory bietry boulevard de marseille,1300000.0,"cocody, abidjan, côte d'ivoire",appartement,4,4,2024-06-21 11:07:24,ngoran mario,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-marcory-bietry-boulevard-de-marseille-4781851,a louer marcory bietry boulevard de marseille des  appartements de 4 pièces du 1er au 12ème étage nouvelle construction disponible avec des chambres autonomes et une indépendante toutes les chambres  ont un balcon et il ya pas de vis a vis il ya un ascenseur parking interne  visite  possible  loyer :1.300.000fcfa,ci.coinafrique.com,2024-06-21,200.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,4 pièces et plus,401000002,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement 5 pièces - cocody riviera faya jules vernes,500000.0,"cocody, abidjan, côte d'ivoire",appartement,5,5,2024-06-21 11:07:34,ngoran mario,https://ci.coinafrique.com/annonce/appartements/location-appartement-5-pieces-cocody-riviera-faya-jules-vernes-4752167,cocody riviera faya jules vernes   location d'un appartement de 5 pieces hautonomes au rez-de-chaussée avec cour avant et cour arrière  un grand salon et une grande cuisine   loyer : 500 mille   visite possible,ci.coinafrique.com,2024-06-21,200.0,abidjan,abidjan,abidjan,cocody,faya,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement 4 pièces - zone 4 bietri,2200000.0,"cocody, abidjan, côte d'ivoire",appartement,4,4,2024-06-21 11:08:18,ngoran mario,https://ci.coinafrique.com/annonce/appartements/location-appartement-4-pieces-zone-4-bietri-4783418,location zone 4 bietri  super apparemment f4 moderne avec  -ascenseur  -  séjour lumineux  - ⁠pièces autonomes  - ⁠cuisine équipée  - ⁠chauffe eau  - ⁠grand balcon avec une belle vue  - ⁠groupe électrogène  loyer 2 200 000fr  - ⁠sécurité h24,ci.coinafrique.com,2024-06-21,220.0,abidjan,abidjan,abidjan,marcory,zone 4,1,1,1,1,0,1,4 pièces et plus,401000002,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
location appartement 2 pièces - cocody angré nouveau djorogobité 1,130000.0,"cocody, abidjan, côte d'ivoire",appartement,2,1,2024-06-21 11:08:27,konéismaël,https://ci.coinafrique.com/annonce/appartements/location-appartement-2-pieces-cocody-angre-nouveau-djorogobite-1-4793008,"location  appartement 2pièces  cocody angré nouveau chu djorogobité 1 dans le quartier mais accessible avec tout type de transport. .(01) douches et wc centre  (01) cuisine  parking interne  prix:130.000fr  condition 5mois plus 20,000fr frais de dossier",ci.coinafrique.com,2024-06-21,89.0,abidjan,abidjan,abidjan,cocody,,1,1,1,1,0,0,2 et 3 pièces,401000002,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
